id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
1297,1047895,true,true,M,Black,Police Officer,93354,9,1,3,0,2
1298,304711,true,true,M,White,Police Officer,90024,41,2,41,0,6
1323,1046316,true,true,M,Black,Police Officer,93354,20,1,10,1,2
1332,1063458,true,true,M,Black,Police Officer,93354,50,1,7,0,2
1340,277356,true,true,F,Black,Police Officer,90024,9,1,10,0,4
1343,296724,true,true,F,Black,Police Officer,47808,1,1,3,0,0
1344,265669,true,true,M,Black,Police Officer,90024,41,6,31,0,4
1345,1063878,true,true,M,White,Police Officer,90618,21,2,35,0,1
1346,294489,true,true,M,Black,Police Officer,93354,10,1,9,0,5
1351,303722,true,true,F,Black,Police Officer,92316,6,1,7,0,2
1354,1070889,true,true,M,Black,Sergeant of Police,109278,17,1,21,0,1
1364,264473,true,true,M,White,Police Officer,90024,14,2,9,0,11
1373,1063331,true,true,F,Black,Police Officer,92430,4,1,6,0,1
1408,1066634,true,true,M,White,Police Officer,83706,4,1,0,0,1
1426,1063581,true,true,M,Black,Police Officer as Detective,100980,5,2,1,0,2
1435,1073506,true,true,F,White,Police Officer,95106,12,3,10,0,0
1460,1053767,true,true,M,White,Police Officer,87006,2,1,11,0,3
1473,279485,true,true,M,White,Police Officer,64926,4,1,2,0,1
1474,298493,true,true,F,White,Lieutenant of Police,87198,13,2,2,0,1
1479,280436,true,true,M,White,Explosives Tech I,93276,3,1,0,0,1
1511,307853,true,true,M,Black,Police Officer,96060,35,6,12,1,6
1517,1077149,true,true,M,Hispanic,Police Officer,93354,16,1,68,0,3
1559,288157,true,true,M,Hispanic,Police Officer,93354,14,2,12,0,1
1564,259254,true,true,M,White,Police Officer as Detective,90024,4,1,29,0,10
1570,1059430,true,true,M,Hispanic,Police Officer,87006,8,1,59,1,2
1573,1034452,true,true,M,White,Sergeant of Police,104628,19,2,36,2,1
1576,297496,true,true,F,White,Police Officer,90024,5,1,54,0,3
1578,1076446,true,true,M,Black,Police Officer,90024,7,1,21,0,11
1595,284095,true,true,M,Black,Police Officer,58572,19,2,1,0,0
1596,278751,true,true,F,Black,Police Officer,90024,14,4,14,0,4
1598,266266,true,true,M,Black,Police Officer as Detective,100980,11,3,5,0,2
1601,1050000,true,true,F,Black,Police Officer,93354,3,2,2,0,1
1610,1048062,true,true,M,White,Police Officer,93354,18,3,12,0,3
1625,307638,true,true,M,White,Sergeant of Police,107988,43,4,59,1,2
1628,1034490,true,true,M,Black,Sergeant of Police,111474,16,1,2,0,3
1647,309814,true,true,M,White,Police Officer Assigned Evidence Technician,87006,32,1,90,0,2
1652,1078720,true,true,F,Hispanic,Police Officer / Field Training Officer,80016,13,1,23,0,2
1658,1083860,true,true,M,White,Sergeant of Police,111474,34,2,16,0,3
1684,1008243,true,true,F,White,Police Officer,70656,3,1,3,0,1
1685,301988,true,true,M,White,Police Officer,87006,2,1,4,1,1
1690,1043745,true,true,M,White,Police Officer,92430,13,5,4,0,3
1696,1002658,true,true,M,White,Sergeant of Police,110370,23,1,11,0,4
1706,280048,true,true,M,Black,Police Officer as Detective,90540,17,3,5,0,4
1716,1019576,true,true,M,Black,Police Officer,90024,16,2,16,0,5
1718,301641,true,true,M,Black,Police Officer,93354,41,9,17,1,3
1739,1028193,true,true,M,White,Police Officer,90024,9,1,44,1,6
1752,1053767,true,true,M,Hispanic,Police Officer,87006,3,1,11,0,3
1753,1007839,true,true,F,Hispanic,Police Officer,87006,8,1,67,0,3
1769,300783,true,true,M,Black,Police Officer,90024,18,2,52,1,7
1789,1055470,true,true,M,White,Sergeant of Police,99756,10,1,20,0,2
1797,275575,true,true,F,Black,Police Officer,90024,14,1,84,0,3
1853,293762,true,true,M,Hispanic,Police Officer,68262,3,2,4,0,0
1869,1027696,true,true,F,Black,Police Officer,83706,12,3,7,0,2
1872,280414,true,true,M,White,Sergeant of Police,111474,6,1,10,0,3
1873,282866,true,true,M,White,Police Officer,90024,10,1,10,0,4
1882,283536,true,true,M,White,Police Officer,93354,19,1,48,0,9
1885,309644,true,true,M,Black,Police Officer,83706,20,7,1,0,0
1892,312881,true,true,M,Black,Lieutenant of Police,,9,1,4,0,0
1898,301541,true,true,F,Black,Police Officer,96060,8,2,4,0,1
1900,1053605,true,true,M,White,Police Officer,53580,11,1,98,0,5
1901,1016377,true,true,M,Black,Police Officer / Field Training Officer,98016,90,8,19,0,0
1907,268378,true,true,M,Black,Police Officer as Detective,82008,20,1,4,1,0
1914,1055379,true,true,M,White,Police Officer,87006,11,2,71,0,1
1926,275183,true,true,F,Black,Police Officer as Detective,93192,9,2,0,0,3
1928,313108,true,true,M,Black,Police Officer,95106,7,2,7,1,4
1944,1079166,true,true,M,Black,Police Officer,89130,6,2,6,0,3
1948,280348,true,true,M,White,Police Officer,69264,42,3,2,0,2
1971,1017042,true,true,M,White,Sergeant of Police,87006,27,2,97,0,2
1974,277314,true,true,M,White,Lieutenant of Police,125190,22,4,11,0,2
2005,310570,true,true,M,White,Sergeant of Police,101958,13,2,4,0,2
2008,1009103,true,true,M,White,Police Officer,82878,30,2,13,0,0
2015,1011088,true,true,M,White,Sergeant of Police,107988,102,3,87,0,7
2029,301645,true,true,M,White,Lieutenant of Police,111474,13,1,22,0,3
2030,290743,true,true,M,White,Police Officer,90024,14,1,55,0,3
2034,288998,true,true,M,White,Police Officer,93354,17,1,47,0,8
