id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
10520,C199892,false,true,M,White,Police Officer,,9,1,9,1,3
10521,C242580,false,true,M,White,Police Officer as Detective,,3,2,0,0,0
10523,C138068,false,true,M,Black,Police Officer,,1,1,5,0,6
10526,C180390,false,true,M,White,Police Officer as Detective,82746,15,1,0,0,0
10528,C197520,false,true,M,White,Police Officer as Detective,87354,48,1,1,0,0
10534,1055541,false,true,F,White,Police Officer,90024,15,3,34,0,1
10541,C180202,false,true,M,Black,Police Officer,96060,22,1,6,0,9
10542,C216588,false,true,M,White,Sergeant of Police,111474,36,2,26,0,8
10543,C216338,false,true,F,Black,Police Officer,,11,8,1,0,0
10545,C136109,false,true,M,Black,Police Officer,,1,1,0,0,0
10546,C216918,false,true,F,Black,Police Officer,96060,21,4,0,0,6
10555,C183462,false,true,M,White,Police Officer as Detective,103932,17,1,42,0,3
10556,C227414,false,true,M,White,Police Officer,,16,5,5,0,6
10560,1045260,false,true,M,White,Police Officer,83706,43,3,29,0,3
10565,C239290,false,true,M,White,Sergeant of Police,101958,11,1,8,0,10
10568,1072098,false,true,F,Black,Police Officer,90024,10,2,12,0,2
10570,C209147,false,true,M,Black,Police Officer,,1,1,3,0,2
10571,C214529,false,true,M,White,Police Officer as Detective,,16,2,0,0,1
10582,C232432,false,true,M,White,Police Officer,,7,1,0,0,0
10583,1022792,false,true,M,Native American/Alaskan Native,Sergeant of Police,107988,32,2,53,0,6
10584,C205748,false,true,M,White,Police Officer,,10,1,3,0,2
10585,C172557,false,true,M,White,Police Officer,83604,30,2,5,0,1
10595,C121179,false,true,M,Black,Police Officer,,1,1,2,0,2
10602,C250881,false,true,M,White,Police Officer,96060,11,2,10,0,10
10612,C175040,false,true,M,White,Police Officer,86130,19,2,5,0,1
10617,C171073,false,true,F,Hispanic,Sergeant of Police,102960,3,1,2,0,1
10618,C171977,false,true,M,White,Police Officer,,8,1,0,0,4
10619,C246070,false,true,M,White,Police Officer as Detective,100980,20,2,6,0,6
10628,C220203,false,true,M,Black,Police Officer,88830,9,3,6,0,7
10629,C234782,false,true,F,White,Police Officer,93354,11,1,31,0,12
10632,1020851,false,true,M,Black,Police Officer,90024,10,2,12,0,3
10635,C209186,false,true,M,Black,Police Officer,,3,1,0,0,0
