src,dst,relationship
29736,15713,1088440
33421,33425,1088773
33425,33421,1088773
240,16151,1088958
16151,240,1088958
18896,26270,259009
18896,28218,259009
18896,32068,259009
18896,32114,259009
26270,18896,259009
26270,28218,259009
26270,32068,259009
26270,32114,259009
28218,18896,259009
28218,26270,259009
28218,32068,259009
28218,32114,259009
32068,18896,259009
32068,26270,259009
32068,28218,259009
32068,32114,259009
32114,18896,259009
32114,26270,259009
32114,28218,259009
32114,32068,259009
24632,25860,259072
25860,24632,259072
11266,30798,259101
30798,11266,259101
2453,3127,259180
3127,2453,259180
8156,18223,259182
18223,8156,259182
19920,28280,259189
28280,19920,259189
13594,27303,259325
27303,13594,259325
23074,31720,259354
31720,23074,259354
15195,24973,259359
24973,15195,259359
12220,18508,259438
12220,28418,259438
18508,12220,259438
18508,28418,259438
28418,12220,259438
28418,18508,259438
12235,24805,259453
24805,12235,259453
28278,28999,259627
28278,30054,259627
28999,28278,259627
28999,30054,259627
30054,28278,259627
30054,28999,259627
22416,26458,259825
26458,22416,259825
1718,4036,259988
4036,1718,259988
16607,25129,260121
25129,16607,260121
9517,27740,260174
9517,30737,260174
9517,32294,260174
27740,9517,260174
27740,30737,260174
27740,32294,260174
30737,9517,260174
30737,27740,260174
30737,32294,260174
32294,9517,260174
32294,27740,260174
32294,30737,260174
7829,28560,260364
28560,7829,260364
23032,26586,260544
26586,23032,260544
4443,5204,260571
5204,4443,260571
23301,25838,260736
25838,23301,260736
3369,7953,260873
7953,3369,260873
13648,18104,260884
13648,29480,260884
18104,13648,260884
18104,29480,260884
29480,13648,260884
29480,18104,260884
22269,28712,261424
28712,22269,261424
23301,28685,261431
28685,23301,261431
13594,13788,261524
13788,13594,261524
17492,22996,261529
22996,17492,261529
8386,15619,261720
8386,20331,261720
8386,21482,261720
8386,25514,261720
15619,8386,261720
15619,20331,261720
15619,21482,261720
15619,25514,261720
20331,8386,261720
20331,15619,261720
20331,21482,261720
20331,25514,261720
21482,8386,261720
21482,15619,261720
21482,20331,261720
21482,25514,261720
25514,8386,261720
25514,15619,261720
25514,20331,261720
25514,21482,261720
13905,16842,261878
16842,13905,261878
22566,26456,262092
26456,22566,262092
10141,16009,262177
10141,19676,262177
16009,10141,262177
16009,19676,262177
19676,10141,262177
19676,16009,262177
26949,29549,262494
29549,26949,262494
21945,28139,262609
28139,21945,262609
6690,18424,262629
18424,6690,262629
8519,26683,262634
26683,8519,262634
933,1516,262781
933,12626,262781
1516,933,262781
1516,12626,262781
12626,933,262781
12626,1516,262781
13768,30464,262949
30464,13768,262949
12177,27101,262974
12177,29842,262974
12177,32384,262974
27101,12177,262974
27101,29842,262974
27101,32384,262974
29842,12177,262974
29842,27101,262974
29842,32384,262974
32384,12177,262974
32384,27101,262974
32384,29842,262974
12626,13670,263265
13670,12626,263265
17164,18356,263271
18356,17164,263271
5556,31949,263563
31949,5556,263563
7725,25615,263766
25615,7725,263766
27112,30509,263911
30509,27112,263911
12520,31448,264040
31448,12520,264040
7084,13725,264091
7084,23082,264091
13725,7084,264091
13725,23082,264091
23082,7084,264091
23082,13725,264091
5715,28530,264152
5715,31701,264152
28530,5715,264152
28530,31701,264152
31701,5715,264152
31701,28530,264152
17114,29267,264244
29267,17114,264244
9601,22098,264783
22098,9601,264783
28867,31999,264823
31999,28867,264823
4530,16112,265096
4530,26641,265096
16112,4530,265096
16112,26641,265096
26641,4530,265096
26641,16112,265096
6309,31424,265166
31424,6309,265166
2307,12677,265498
12677,2307,265498
11288,11776,265502
11776,11288,265502
9771,16345,266103
16345,9771,266103
18894,21328,266104
21328,18894,266104
26927,29183,266535
29183,26927,266535
8540,29057,266540
29057,8540,266540
9233,18506,266704
18506,9233,266704
10007,12959,267014
12959,10007,267014
397,13689,267284
13689,397,267284
14185,15060,267391
14185,25577,267391
15060,14185,267391
15060,25577,267391
25577,14185,267391
25577,15060,267391
8985,9555,267409
9555,8985,267409
7780,23450,267519
23450,7780,267519
4893,23410,267675
23410,4893,267675
3064,11741,268024
11741,3064,268024
9106,32229,268344
32229,9106,268344
18225,32052,268629
32052,18225,268629
12817,27480,268834
27480,12817,268834
27711,30550,268844
30550,27711,268844
10871,14882,268918
14882,10871,268918
22266,24660,268968
24660,22266,268968
13788,21875,269294
21875,13788,269294
11463,17938,270029
17938,11463,270029
11436,13162,271167
13162,11436,271167
13526,30904,271199
30904,13526,271199
8658,13788,271718
13788,8658,271718
16943,22279,271823
16943,24511,271823
22279,16943,271823
22279,24511,271823
24511,16943,271823
24511,22279,271823
1344,2453,271887
1344,7899,271887
2453,1344,271887
2453,7899,271887
7899,1344,271887
7899,2453,271887
6119,10058,272069
6119,20691,272069
6119,21883,272069
10058,6119,272069
10058,20691,272069
10058,21883,272069
20691,6119,272069
20691,10058,272069
20691,21883,272069
21883,6119,272069
21883,10058,272069
21883,20691,272069
4545,13151,272096
13151,4545,272096
4523,28153,272119
4523,29054,272119
28153,4523,272119
28153,29054,272119
29054,4523,272119
29054,28153,272119
10774,12391,272122
12391,10774,272122
7424,24803,272354
24803,7424,272354
26215,30413,272816
30413,26215,272816
7680,13034,273052
13034,7680,273052
16208,31269,273126
31269,16208,273126
30805,31448,273150
30805,32044,273150
31448,30805,273150
31448,32044,273150
32044,30805,273150
32044,31448,273150
10428,13852,273336
10428,16927,273336
13852,10428,273336
13852,16927,273336
16927,10428,273336
16927,13852,273336
1304,9213,273356
9213,1304,273356
17110,26950,273393
26950,17110,273393
15936,23859,273637
23859,15936,273637
5193,10072,273671
5193,32270,273671
10072,5193,273671
10072,32270,273671
32270,5193,273671
32270,10072,273671
3198,13541,273695
3198,15230,273695
13541,3198,273695
13541,15230,273695
15230,3198,273695
15230,13541,273695
24145,29148,273930
29148,24145,273930
24641,29511,273990
29511,24641,273990
14546,29776,274014
29776,14546,274014
14535,31525,274116
31525,14535,274116
4062,10166,274522
10166,4062,274522
20381,30401,274609
30401,20381,274609
17865,23144,274640
17865,29209,274640
23144,17865,274640
23144,29209,274640
29209,17865,274640
29209,23144,274640
5913,13583,274783
13583,5913,274783
12109,29384,275732
29384,12109,275732
18208,31386,275843
31386,18208,275843
332,22951,275931
22951,332,275931
15938,24744,276714
24744,15938,276714
15553,16696,276801
15553,29815,276801
15553,31832,276801
16696,15553,276801
16696,29815,276801
16696,31832,276801
29815,15553,276801
29815,16696,276801
29815,31832,276801
31832,15553,276801
31832,16696,276801
31832,29815,276801
18122,26520,277207
26520,18122,277207
9479,20769,277393
20769,9479,277393
7390,18138,277400
7390,30607,277400
7390,30831,277400
18138,7390,277400
18138,30607,277400
18138,30831,277400
30607,7390,277400
30607,18138,277400
30607,30831,277400
30831,7390,277400
30831,18138,277400
30831,30607,277400
18048,30846,277423
30846,18048,277423
13262,13900,277643
13262,28783,277643
13900,13262,277643
13900,28783,277643
28783,13262,277643
28783,13900,277643
17285,17397,277930
17285,31896,277930
17397,17285,277930
17397,31896,277930
31896,17285,277930
31896,17397,277930
7210,8159,278043
8159,7210,278043
29421,31242,278771
31242,29421,278771
8578,28397,278964
28397,8578,278964
11323,23348,279303
23348,11323,279303
12217,21483,279322
21483,12217,279322
1844,23450,279869
23450,1844,279869
5532,8536,280839
8536,5532,280839
6072,13872,280897
13872,6072,280897
263,639,281020
263,25864,281020
639,263,281020
639,25864,281020
25864,263,281020
25864,639,281020
20113,24784,281843
24784,20113,281843
8967,22927,283171
22927,8967,283171
17423,20355,283711
20355,17423,283711
124,20495,283876
20495,124,283876
11763,27212,284416
27212,11763,284416
5193,5360,284889
5360,5193,284889
6254,17369,285179
6254,21593,285179
6254,25491,285179
6254,25631,285179
17369,6254,285179
17369,21593,285179
17369,25491,285179
17369,25631,285179
21593,6254,285179
21593,17369,285179
21593,25491,285179
21593,25631,285179
25491,6254,285179
25491,17369,285179
25491,21593,285179
25491,25631,285179
25631,6254,285179
25631,17369,285179
25631,21593,285179
25631,25491,285179
13397,25400,285546
25400,13397,285546
23136,24890,286137
24890,23136,286137
7835,8390,286953
7835,12082,286953
7835,13720,286953
7835,18573,286953
7835,24326,286953
8390,7835,286953
8390,12082,286953
8390,13720,286953
8390,18573,286953
8390,24326,286953
12082,7835,286953
12082,8390,286953
12082,13720,286953
12082,18573,286953
12082,24326,286953
13720,7835,286953
13720,8390,286953
13720,12082,286953
13720,18573,286953
13720,24326,286953
18573,7835,286953
18573,8390,286953
18573,12082,286953
18573,13720,286953
18573,24326,286953
24326,7835,286953
24326,8390,286953
24326,12082,286953
24326,13720,286953
24326,18573,286953
20732,27035,287348
27035,20732,287348
11697,13127,287609
13127,11697,287609
5674,19477,287678
19477,5674,287678
8153,8394,287748
8394,8153,287748
5913,13583,287924
13583,5913,287924
26895,31199,288123
31199,26895,288123
2659,28416,288853
28416,2659,288853
10863,28158,288879
10863,29332,288879
28158,10863,288879
28158,29332,288879
29332,10863,288879
29332,28158,288879
8687,14279,289429
14279,8687,289429
17889,30155,289793
30155,17889,289793
3643,26915,289822
26915,3643,289822
678,5674,290430
5674,678,290430
16458,16469,290667
16469,16458,290667
24459,26879,291266
26879,24459,291266
12596,12806,291366
12806,12596,291366
15684,31650,291586
31650,15684,291586
26466,28258,291658
28258,26466,291658
7252,12636,293330
12636,7252,293330
13415,15977,294232
15977,13415,294232
2201,22735,294486
22735,2201,294486
6347,23546,294702
23546,6347,294702
9134,23362,294930
23362,9134,294930
5205,30675,295501
30675,5205,295501
13491,28172,295636
28172,13491,295636
7160,26692,295850
26692,7160,295850
15194,29676,295927
29676,15194,295927
4013,4017,296045
4013,10351,296045
4013,29384,296045
4017,4013,296045
4017,10351,296045
4017,29384,296045
10351,4013,296045
10351,4017,296045
10351,29384,296045
29384,4013,296045
29384,4017,296045
29384,10351,296045
13424,17434,296158
