src,dst,relationship
560,29252,1028193
560,31536,1028193
560,32014,1028193
560,32042,1028193
560,32072,1028193
560,32111,1028193
560,32356,1028193
560,32390,1028193
1739,560,1028193
1739,2201,1028193
1739,2356,1028193
1739,2375,1028193
1739,3526,1028193
1739,4226,1028193
1739,4254,1028193
1739,4565,1028193
1739,6131,1028193
1739,6704,1028193
1739,6852,1028193
1739,7032,1028193
1739,8220,1028193
1739,9648,1028193
1739,10905,1028193
1739,12947,1028193
1739,13093,1028193
1739,13272,1028193
1739,14007,1028193
1739,15836,1028193
1739,18998,1028193
1739,19798,1028193
1739,20616,1028193
1739,21364,1028193
1739,22258,1028193
1739,22554,1028193
1739,22648,1028193
1739,24039,1028193
1739,24063,1028193
1739,25230,1028193
1739,27668,1028193
1739,28178,1028193
1739,28384,1028193
1739,29252,1028193
1739,31536,1028193
1739,32014,1028193
1739,32042,1028193
1739,32072,1028193
1739,32111,1028193
1739,32356,1028193
1739,32390,1028193
2201,560,1028193
2201,1739,1028193
2201,2356,1028193
2201,2375,1028193
2201,3526,1028193
2201,4226,1028193
2201,4254,1028193
2201,4565,1028193
2201,6131,1028193
2201,6704,1028193
2201,6852,1028193
2201,7032,1028193
2201,8220,1028193
2201,9648,1028193
2201,10905,1028193
2201,12947,1028193
2201,13093,1028193
2201,13272,1028193
2201,14007,1028193
2201,15836,1028193
2201,18998,1028193
2201,19798,1028193
2201,20616,1028193
2201,21364,1028193
2201,22258,1028193
2201,22554,1028193
2201,22648,1028193
2201,24039,1028193
2201,24063,1028193
2201,25230,1028193
2201,27668,1028193
2201,28178,1028193
2201,28384,1028193
2201,29252,1028193
2201,31536,1028193
2201,32014,1028193
2201,32042,1028193
2201,32072,1028193
2201,32111,1028193
2201,32356,1028193
2201,32390,1028193
2356,560,1028193
2356,1739,1028193
2356,2201,1028193
2356,2375,1028193
2356,3526,1028193
2356,4226,1028193
2356,4254,1028193
2356,4565,1028193
2356,6131,1028193
2356,6704,1028193
2356,6852,1028193
2356,7032,1028193
2356,8220,1028193
2356,9648,1028193
2356,10905,1028193
2356,12947,1028193
2356,13093,1028193
2356,13272,1028193
2356,14007,1028193
2356,15836,1028193
2356,18998,1028193
2356,19798,1028193
2356,20616,1028193
2356,21364,1028193
2356,22258,1028193
2356,22554,1028193
2356,22648,1028193
2356,24039,1028193
2356,24063,1028193
2356,25230,1028193
2356,27668,1028193
2356,28178,1028193
2356,28384,1028193
2356,29252,1028193
2356,31536,1028193
2356,32014,1028193
2356,32042,1028193
2356,32072,1028193
2356,32111,1028193
2356,32356,1028193
2356,32390,1028193
2375,560,1028193
2375,1739,1028193
2375,2201,1028193
2375,2356,1028193
2375,3526,1028193
2375,4226,1028193
2375,4254,1028193
2375,4565,1028193
2375,6131,1028193
2375,6704,1028193
2375,6852,1028193
2375,7032,1028193
2375,8220,1028193
2375,9648,1028193
2375,10905,1028193
2375,12947,1028193
2375,13093,1028193
2375,13272,1028193
2375,14007,1028193
2375,15836,1028193
2375,18998,1028193
2375,19798,1028193
2375,20616,1028193
2375,21364,1028193
2375,22258,1028193
2375,22554,1028193
2375,22648,1028193
2375,24039,1028193
2375,24063,1028193
2375,25230,1028193
2375,27668,1028193
2375,28178,1028193
2375,28384,1028193
2375,29252,1028193
2375,31536,1028193
2375,32014,1028193
2375,32042,1028193
2375,32072,1028193
2375,32111,1028193
2375,32356,1028193
2375,32390,1028193
3526,560,1028193
3526,1739,1028193
3526,2201,1028193
3526,2356,1028193
3526,2375,1028193
3526,4226,1028193
3526,4254,1028193
3526,4565,1028193
3526,6131,1028193
3526,6704,1028193
3526,6852,1028193
3526,7032,1028193
3526,8220,1028193
3526,9648,1028193
3526,10905,1028193
3526,12947,1028193
3526,13093,1028193
3526,13272,1028193
3526,14007,1028193
3526,15836,1028193
3526,18998,1028193
3526,19798,1028193
3526,20616,1028193
3526,21364,1028193
3526,22258,1028193
3526,22554,1028193
3526,22648,1028193
3526,24039,1028193
3526,24063,1028193
3526,25230,1028193
3526,27668,1028193
3526,28178,1028193
3526,28384,1028193
3526,29252,1028193
3526,31536,1028193
3526,32014,1028193
3526,32042,1028193
3526,32072,1028193
3526,32111,1028193
3526,32356,1028193
3526,32390,1028193
4226,560,1028193
4226,1739,1028193
4226,2201,1028193
4226,2356,1028193
4226,2375,1028193
4226,3526,1028193
4226,4254,1028193
4226,4565,1028193
4226,6131,1028193
4226,6704,1028193
4226,6852,1028193
4226,7032,1028193
4226,8220,1028193
4226,9648,1028193
4226,10905,1028193
4226,12947,1028193
4226,13093,1028193
4226,13272,1028193
4226,14007,1028193
4226,15836,1028193
4226,18998,1028193
4226,19798,1028193
4226,20616,1028193
4226,21364,1028193
4226,22258,1028193
4226,22554,1028193
4226,22648,1028193
4226,24039,1028193
4226,24063,1028193
4226,25230,1028193
4226,27668,1028193
4226,28178,1028193
4226,28384,1028193
4226,29252,1028193
4226,31536,1028193
4226,32014,1028193
4226,32042,1028193
4226,32072,1028193
4226,32111,1028193
4226,32356,1028193
4226,32390,1028193
4254,560,1028193
4254,1739,1028193
4254,2201,1028193
4254,2356,1028193
4254,2375,1028193
4254,3526,1028193
4254,4226,1028193
4254,4565,1028193
4254,6131,1028193
4254,6704,1028193
4254,6852,1028193
4254,7032,1028193
